CALL_DURATION_IN_SECONDS__C (Agent Seconds),IncontactId,First Name,Last Name,Media Type,Skill Name,Team Name,Call Duration,Contact Start
80,86872636302,Peter,Parker,WorkItem,Chimerical Auto Workitem,Sales,80,2018-12-12T00:28:44.000Z
262,87363734051,Wade,Wilson,Chat,Chimerical Auto Workitem,Sales,262,2019-05-27T21:03:04.000Z
294,86242818640,Steve,Rogers,Chat,Chimerical Auto Workitem,Cable TV Support,294,2019-07-24T13:59:53.000Z
37,81841637836,Tony,Stark,Chat,Chimerical Auto Workitem,Auto Agent,37,2019-02-23T15:21:40.000Z
244,85531955245,Bruce,Banner,Chat,Chimerical Auto Workitem,Router Support,244,2018-11-16T14:46:50.000Z
51,89208586836,Justin,Case,WorkItem,Chimerical Auto Workitem,Sales,51,2018-12-29T02:48:21.000Z
77,89993437378,Peter,Parker,Chat,Chimerical Auto Workitem,Cable TV Support,77,2019-08-18T09:31:22.000Z
170,85687085291,Tony,Stark,WorkItem,Chimerical Auto Workitem,Sales,170,2019-02-15T06:54:47.000Z
45,89766458453,Luke,Cage,Chat,Chimerical Auto Workitem,Sales,45,2018-11-22T23:57:30.000Z
263,85778926381,Charles,Xavier,Call,Chimerical Auto Workitem,Router Support,263,2019-04-27T08:06:00.000Z
71,86174492012,Charles,Xavier,Email,Chimerical Auto Workitem,Router Support,71,2019-10-14T05:09:15.000Z
176,81766556207,Tony,Stark,Chat,Chimerical Auto Workitem,Cable TV Support,176,2019-02-15T17:24:33.000Z
174,85583401390,Tony,Stark,Chat,Chimerical Auto Workitem,Cable TV Support,174,2019-09-25T07:44:53.000Z
231,83548078456,Tony,Stark,Chat,Chimerical Auto Workitem,Auto Agent,231,2019-06-14T21:47:21.000Z
285,86952444305,Charles,Xavier,Call,Chimerical Auto Workitem,Cable TV Support,285,2019-07-11T12:51:02.000Z
24,83720912153,Bruce,Banner,Email,Chimerical Auto Workitem,Router Support,24,2019-06-17T19:35:52.000Z
103,86830707592,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Cable TV Support,103,2019-01-09T08:40:00.000Z
36,81666944946,Luke,Cage,WorkItem,Chimerical Auto Workitem,Sales,36,2019-09-03T00:33:38.000Z
46,89825124805,Steve,Rogers,Email,Chimerical Auto Workitem,Sales,46,2019-06-08T02:15:25.000Z
70,86167834401,Peter,Parker,Email,Chimerical Auto Workitem,Cable TV Support,70,2018-11-27T23:25:41.000Z
47,88721640152,Steve,Rogers,Email,Chimerical Auto Workitem,Sales,47,2019-07-15T14:47:45.000Z
54,83278783219,Luke,Cage,Chat,Chimerical Auto Workitem,Cable TV Support,54,2019-06-01T17:01:03.000Z
196,86194711498,Peter,Parker,Email,Chimerical Auto Workitem,Auto Agent,196,2019-09-08T13:09:22.000Z
198,85898949485,Clint,Barton,Call,Chimerical Auto Workitem,Cable TV Support,198,2018-11-20T12:37:04.000Z
256,84559154640,Charles,Xavier,Call,Chimerical Auto Workitem,Router Support,256,2019-05-08T15:57:54.000Z
83,87116174695,Charles,Xavier,Email,Chimerical Auto Workitem,Auto Agent,83,2019-09-20T07:30:54.000Z
82,86380985598,Charles,Xavier,Call,Chimerical Auto Workitem,Sales,82,2019-01-17T16:57:23.000Z
32,85808108677,Clint,Barton,WorkItem,Chimerical Auto Workitem,Sales,32,2019-07-02T07:24:55.000Z
176,89771084992,Wade,Wilson,Chat,Chimerical Auto Workitem,Cable TV Support,176,2019-05-20T00:30:29.000Z
247,81713517667,Steve,Rogers,Chat,Chimerical Auto Workitem,Cable TV Support,247,2019-04-04T07:58:55.000Z
219,86637835951,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Sales,219,2019-10-15T16:26:00.000Z
56,89749374899,Luke,Cage,WorkItem,Chimerical Auto Workitem,Auto Agent,56,2018-12-29T06:56:43.000Z
228,84023664598,Clint,Barton,Email,Chimerical Auto Workitem,Auto Agent,228,2019-01-01T16:08:43.000Z
135,83873746257,Wade,Wilson,Email,Chimerical Auto Workitem,Cable TV Support,135,2019-10-06T06:31:48.000Z
157,82948730719,Clint,Barton,Call,Chimerical Auto Workitem,Cable TV Support,157,2019-04-11T21:44:59.000Z
57,86276402311,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Router Support,57,2019-04-04T17:53:15.000Z
144,81421242953,Steve,Rogers,WorkItem,Chimerical Auto Workitem,Router Support,144,2018-12-18T16:58:40.000Z
187,88830723497,Steve,Rogers,WorkItem,Chimerical Auto Workitem,Router Support,187,2019-04-03T08:48:53.000Z
45,89111326745,Justin,Case,Call,Chimerical Auto Workitem,Router Support,45,2019-04-04T08:05:30.000Z
106,83546165674,Justin,Case,Call,Chimerical Auto Workitem,Auto Agent,106,2018-11-02T07:41:02.000Z
208,86027734629,Steve,Rogers,WorkItem,Chimerical Auto Workitem,Sales,208,2019-05-20T23:14:26.000Z
96,87759608361,Justin,Case,Chat,Chimerical Auto Workitem,Auto Agent,96,2019-04-23T20:25:40.000Z
50,85823523251,Tony,Stark,Chat,Chimerical Auto Workitem,Cable TV Support,50,2019-08-16T20:28:42.000Z
293,89668244179,Clint,Barton,Call,Chimerical Auto Workitem,Router Support,293,2018-10-31T10:17:34.000Z
152,86773231467,Wade,Wilson,Call,Chimerical Auto Workitem,Sales,152,2019-03-19T06:02:33.000Z
283,88811883655,Justin,Case,WorkItem,Chimerical Auto Workitem,Auto Agent,283,2019-07-29T14:29:38.000Z
142,88528015132,Wade,Wilson,Chat,Chimerical Auto Workitem,Router Support,142,2019-03-22T12:14:00.000Z
56,84675933286,Tony,Stark,Chat,Chimerical Auto Workitem,Sales,56,2019-03-19T16:40:56.000Z
116,85327896112,Luke,Cage,Email,Chimerical Auto Workitem,Cable TV Support,116,2019-04-14T19:17:21.000Z
36,82605938277,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Cable TV Support,36,2019-01-05T14:58:41.000Z
138,89431674905,Justin,Case,Email,Chimerical Auto Workitem,Auto Agent,138,2019-05-26T16:17:07.000Z
125,84625691268,Tony,Stark,Call,Chimerical Auto Workitem,Sales,125,2018-12-23T17:24:14.000Z
255,89103087725,Luke,Cage,Call,Chimerical Auto Workitem,Cable TV Support,255,2019-08-24T10:54:19.000Z
128,82089632697,Steve,Rogers,Call,Chimerical Auto Workitem,Router Support,128,2018-11-25T12:38:21.000Z
73,89548428232,Justin,Case,WorkItem,Chimerical Auto Workitem,Auto Agent,73,2019-09-15T05:03:01.000Z
156,82367033644,Tony,Stark,WorkItem,Chimerical Auto Workitem,Auto Agent,156,2019-05-28T04:54:34.000Z
47,86312321531,Clint,Barton,Call,Chimerical Auto Workitem,Sales,47,2019-08-14T12:14:21.000Z
139,84277985659,Wade,Wilson,Chat,Chimerical Auto Workitem,Cable TV Support,139,2019-02-17T10:24:30.000Z
173,82461369458,Charles,Xavier,WorkItem,Chimerical Auto Workitem,Auto Agent,173,2019-03-13T09:45:15.000Z
278,82247387843,Charles,Xavier,Call,Chimerical Auto Workitem,Auto Agent,278,2018-12-02T17:32:58.000Z
154,87991886054,Justin,Case,Chat,Chimerical Auto Workitem,Router Support,154,2019-09-22T07:20:01.000Z
149,87484294812,Steve,Rogers,Chat,Chimerical Auto Workitem,Router Support,149,2019-07-11T16:39:51.000Z
101,87259544938,Wade,Wilson,Chat,Chimerical Auto Workitem,Router Support,101,2019-03-29T05:47:50.000Z
170,84038814157,Steve,Rogers,Call,Chimerical Auto Workitem,Auto Agent,170,2019-02-19T11:21:58.000Z
63,88223312382,Wade,Wilson,Call,Chimerical Auto Workitem,Auto Agent,63,2018-12-29T08:37:59.000Z
98,81853345356,Clint,Barton,Email,Chimerical Auto Workitem,Cable TV Support,98,2019-02-20T17:39:06.000Z
114,89292334276,Peter,Parker,Chat,Chimerical Auto Workitem,Auto Agent,114,2019-07-29T08:47:08.000Z
30,81706138029,Steve,Rogers,Email,Chimerical Auto Workitem,Cable TV Support,30,2019-08-20T00:36:20.000Z
79,89114109178,Luke,Cage,Call,Chimerical Auto Workitem,Sales,79,2019-08-20T19:16:33.000Z
114,84789421849,Peter,Parker,Call,Chimerical Auto Workitem,Sales,114,2018-11-23T09:15:03.000Z
203,89791362041,Bruce,Banner,Call,Chimerical Auto Workitem,Sales,203,2019-06-15T08:07:02.000Z
32,87976675929,Tony,Stark,WorkItem,Chimerical Auto Workitem,Router Support,32,2019-01-17T15:54:51.000Z
277,89118700551,Tony,Stark,WorkItem,Chimerical Auto Workitem,Auto Agent,277,2019-02-20T16:22:00.000Z
182,81542806347,Tony,Stark,Email,Chimerical Auto Workitem,Cable TV Support,182,2018-10-29T09:55:03.000Z
43,83738484634,Charles,Xavier,Email,Chimerical Auto Workitem,Auto Agent,43,2018-11-08T15:37:46.000Z
294,88565485331,Luke,Cage,Email,Chimerical Auto Workitem,Sales,294,2018-10-30T01:11:18.000Z
273,86344777813,Luke,Cage,WorkItem,Chimerical Auto Workitem,Router Support,273,2019-08-18T19:12:13.000Z
