ID,WHOID,WHATId,SUBJECT,ACTIVITYDATE,STATUS,PRIORITY,ISHIGHPRIORITY,OWNERID,DESCRIPTION,ISDELETED,ACCOUNTID,ISCLOSED,CREATEDDATE,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,ISARCHIVED,CALLDURATIONINSECONDS,CALLTYPE,CALLDISPOSITION,CALLOBJECT,REMINDERDATETIME,ISREMINDERSET,RECURRENCEACTIVITYID,ISRECURRENCE,RECURRENCESTARTDATEONLY,RECURRENCEENDDATEONLY,RECURRENCETIMEZONESIDKEY,RECURRENCETYPE,RECURRENCEINTERVAL,RECURRENCEDAYOFWEEKMASK,RECURRENCEDAYOFMONTH,RECURRENCEINSTANCE,RECURRENCEMONTHOFYEAR,RECURRENCEREGENERATEDTYPE,TASKSUBTYPE,DISPOSITION__C,INCONTACT_CONTACT_ID__C,SKILL_NAME__C,TEAM_NAME__C,ANI__C,AGENT_NAME__C,CALLBACK_TIME__C,CALL_DIRECTION__C,CALL_DURATION_IN_SECONDS__C,CALL_START_DATE_AND_TIME__C,CALL_END_DATE_AND_TIME__C,COMMITMENT_AMOUNT__C,CUSTOM_VALUE_1__C,CUSTOM_VALUE_2__C,DNIS__C,SECONDARY_DISPOSITION__C,TAGS__C
,,500R0000009v8PfIAI,Product Problem,,Completed,High,,0054P00000Av1QaQAJ,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,,,TRUE,2018-12-12T00:28:44.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,86872636302,Chimerical Auto Workitem,Sales,718-377-6527,Peter Parker,,Outbound,86,2018-12-12T00:28:44Z,,,WorkItem,,949-331-2245,Business Development,Upgrade
,,500R0000009v8PgIAI,General Inquiry,,Completed,High,,0054P00000Av1QzQAJ,sem sed sagittis nam congue risus semper porta volutpat quam pede,,,TRUE,2019-05-27T21:03:04.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,87363734051,Chimerical Auto Outbound,Sales,898-562-0176,Wade Wilson,,Inbound,268,2019-05-27T21:03:04Z,,,Chat,,478-594-2456,Services,New Product
,,500R0000009v8PhIAI,Product Problem,,Completed,Low,,0054P00000Av1QGQAZ,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,,,TRUE,2019-07-24T13:59:53.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,86242818640,Chimerical Auto Workitem,Cable TV Support,234-866-9781,Steve Rogers,,Outbound,300,2019-07-24T13:59:53Z,,,Chat,,869-636-0136,Services,Hot Lead
,,500R0000009v8PiIAI,General Inquiry,,Completed,Low,,0054P00000Av1QuQAJ,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,,,TRUE,2019-02-23T15:21:40.000Z,,,,,,,,,,,,,,,,,,,,,,,,Issue Resolved,81841637836,Chimerical Auto Workitem,Auto Agent,325-534-1813,Tony Stark,,Outbound,43,2019-02-23T15:21:40Z,,,Chat,,274-360-8974,Sales,New Product
,,500R0000009v8PjIAI,Product Problem,,Completed,High,,0054P00000Av1PrQAJ,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,,,TRUE,2018-11-16T14:46:50.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,85531955245,Chimerical Auto Outbound,Router Support,142-803-9043,Bruce Banner,,Outbound,250,2018-11-16T14:46:50Z,,,Chat,,119-633-4023,Engineering,Known Issue
,,500R0000009v8PkIAI,General Inquiry,,Completed,Low,,0054P00000Av1QaQAJ,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,,,TRUE,2018-12-29T02:48:21.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,89208586836,Router Issues,Sales,619-585-9701,Justin Case,,Inbound,57,2018-12-29T02:48:21Z,,,WorkItem,,657-595-8405,Human Resources,Fall Campaign
,,500R0000009v8PlIAI,General Inquiry,,Completed,High,,0054P00000Av1QkQAJ,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,,,TRUE,2019-08-18T09:31:22.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,89993437378,Chimerical Auto Inbound,Cable TV Support,848-852-1304,Peter Parker,,Outbound,83,2019-08-18T09:31:22Z,,,Chat,,215-744-3165,Accounting,New Product
,,500R0000009v8PmIAI,Product Support,,Completed,Medium,,0054P00000Av1QaQAJ,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,,,TRUE,2019-02-15T06:54:47.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,85687085291,Chimerical Auto Inbound,Sales,805-754-9712,Tony Stark,,Outbound,176,2019-02-15T06:54:47Z,,,WorkItem,,606-288-7086,Services,Fall Campaign
,,500R0000009v8PnIAI,General Inquiry,,Completed,Low,,0054P00000Av1QzQAJ,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,,,TRUE,2018-11-22T23:57:30.000Z,,,,,,,,,,,,,,,,,,,,,,,,Issue Resolved,89766458453,Cable TV Issues,Sales,559-404-2270,Luke Cage,,Inbound,51,2018-11-22T23:57:30Z,,,Chat,,170-132-9970,Legal,New Product
,,500R0000009v8PoIAI,Product Problem,,Completed,Low,,0054P00000Av1QGQAZ,libero nam dui proin leo odio porttitor id consequat in,,,TRUE,2019-04-27T08:06:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,85778926381,Chimerical Auto Workitem,Router Support,474-315-0206,Charles Xavier,,Outbound,269,2019-04-27T08:06:00Z,,,Call,,942-216-8778,Marketing,New Product
