ID,WHOID,WHATId,SUBJECT,ACTIVITYDATE,STATUS,PRIORITY,ISHIGHPRIORITY,OWNERID,DESCRIPTION,ISDELETED,ACCOUNTID,ISCLOSED,CREATEDDATE,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,ISARCHIVED,CALLDURATIONINSECONDS,CALLTYPE,CALLDISPOSITION,CALLOBJECT,REMINDERDATETIME,ISREMINDERSET,RECURRENCEACTIVITYID,ISRECURRENCE,RECURRENCESTARTDATEONLY,RECURRENCEENDDATEONLY,RECURRENCETIMEZONESIDKEY,RECURRENCETYPE,RECURRENCEINTERVAL,RECURRENCEDAYOFWEEKMASK,RECURRENCEDAYOFMONTH,RECURRENCEINSTANCE,RECURRENCEMONTHOFYEAR,RECURRENCEREGENERATEDTYPE,TASKSUBTYPE,DISPOSITION__C,INCONTACT_CONTACT_ID__C,SKILL_NAME__C,TEAM_NAME__C,ANI__C,AGENT_NAME__C,CALLBACK_TIME__C,CALL_DIRECTION__C,CALL_DURATION_IN_SECONDS__C,CALL_START_DATE_AND_TIME__C,CALL_END_DATE_AND_TIME__C,COMMITMENT_AMOUNT__C,CUSTOM_VALUE_1__C,CUSTOM_VALUE_2__C,DNIS__C,SECONDARY_DISPOSITION__C,TAGS__C
,,500R0000009v8MRIAY,Known Issue,,Completed,Medium,,0054P00000Av1QkQAJ,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,,0014P0000278mQ6QAI,,2019-09-25T09:58:53.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,81691705818,Chimerical Auto Outbound,Router Support,487-196-6327,Luke Cage,,Inbound,277,2019-09-25T09:58:53Z,,,Chat,,855-618-3019,Services,Fall Campaign
,,500R0000009v8MSIAY,Product Problem,,Completed,Medium,,0054P00000Av1R4QAJ,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,,0014P0000278mS9QAI,TRUE,2019-10-11T09:05:18.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,18536003459,Chimerical Auto Outbound,Sales,603-764-4378,Charles Xavier,,Inbound,2651,2019-10-11T09:05:18Z,,,Call,,194-712-9560,Product Management,Upgrade
,,500R0000009v8MTIAY,Product Problem,,Completed,Medium,,0054P00000Av1R4QAJ,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,,0014P0000278mQ6QAI,TRUE,2019-06-02T12:19:24.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,17327068469,Broadband Sales,Router Support,265-900-7628,Clint Barton,,Outbound,798,2019-06-02T12:19:24Z,,,Email,,156-542-9588,Human Resources,Spring Campaign
,,500R0000009v8MUIAY,Product Support,,Completed,Medium,,0054P00000Av1QaQAJ,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,,0014P0000278mPMQAY,TRUE,2019-09-23T02:36:55.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,18670288786,Cable TV Issues,Auto Agent,406-955-1417,Peter Parker,,Inbound,2277,2019-09-23T02:36:55Z,,,WorkItem,,704-120-6058,Sales,Upgrade
,,500R0000009v8MVIAY,Product Inquiry,,Completed,High,,0054P00000Av1QuQAJ,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,,0014P0000278mVxQAI,TRUE,2019-02-21T12:36:23.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,12670472642,Chimerical Auto Outbound,Router Support,967-503-7619,Peter Parker,,Outbound,2312,2019-02-21T12:36:23Z,,,WorkItem,,320-588-9854,Product Management,Fall Campaign
,,500R0000009v8MWIAY,General Inquiry,,Completed,Low,,0054P00000Av1QuQAJ,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,,0014P0000278mN9QAI,TRUE,2019-06-07T09:14:37.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,13740020357,Router Issues,Cable TV Support,919-436-4358,Peter Parker,,Outbound,910,2019-06-07T09:14:37Z,,,Chat,,811-293-3846,Product Management,Spring Campaign
,,500R0000009v8MXIAY,General Inquiry,,Completed,Low,,0054P00000Av1QkQAJ,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,,0014P0000278mPMQAY,TRUE,2018-12-10T19:40:26.000Z,,,,,,,,,,,,,,,,,,,,,,,,Issue Resolved,18773223723,Router Issues,Auto Agent,796-837-4939,Justin Case,,Inbound,1358,2018-12-10T19:40:26Z,,,Email,,291-625-5619,Support,Known Issue
,,500R0000009v8MYIAY,Known Issue,,Completed,High,,0054P00000Av1QzQAJ,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,,0014P0000278mVxQAI,TRUE,2019-06-30T01:53:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,19126925290,Chimerical Auto Outbound,Router Support,549-801-1089,Wade Wilson,,Inbound,1353,2019-06-30T01:53:49Z,,,Chat,,171-435-2374,Product Management,Upgrade
,,500R0000009v8MZIAY,General Inquiry,,Completed,Medium,,0054P00000Av1QzQAJ,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,,0014P0000278mS9QAI,TRUE,2019-08-06T16:39:02.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,19293807793,Chimerical Auto Outbound,Sales,649-133-8914,Clint Barton,,Outbound,2136,2019-08-06T16:39:02Z,,,WorkItem,,254-987-4322,Engineering,Known Issue
,,500R0000009v8MaIAI,Product Support,,Completed,Low,,0054P00000Av1QaQAJ,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,,0014P0000278mVxQAI,TRUE,2019-10-09T12:15:07.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,14407015754,Chimerical Auto Inbound,Cable TV Support,241-110-0414,Bruce Banner,,Inbound,1003,2019-10-09T12:15:07Z,,,Call,,114-552-8856,Product Management,Spring Campaign
