CALL_DURATION_IN_SECONDS__C (Agent Seconds),IncontactId,First Name,Last Name,Media Type,Skill Name,Team Name,Call Duration,Contact Start
80,86872636302,Peter,Parker,Call,Chimerical Auto Workitem,Sales,80,2019-01-27T19:03:37.000Z
262,87363734051,Wade,Wilson,Chat,Chimerical Auto Workitem,Sales,262,2019-03-28T06:02:38.000Z
294,86242818640,Steve,Rogers,Chat,Chimerical Auto Workitem,Cable TV Support,294,2019-06-16T11:12:18.000Z
37,81841637836,Tony,Stark,Chat,Chimerical Auto Workitem,Auto Agent,37,2018-10-20T23:36:37.000Z
244,85531955245,Bruce,Banner,Chat,Chimerical Auto Workitem,Router Support,244,2019-05-16T20:33:40.000Z
51,89208586836,Justin,Case,Call,Chimerical Auto Workitem,Sales,51,2019-02-15T06:11:34.000Z
77,89993437378,Peter,Parker,Chat,Chimerical Auto Workitem,Cable TV Support,77,2019-02-26T00:56:09.000Z
170,85687085291,Tony,Stark,Call,Chimerical Auto Workitem,Sales,170,2019-04-23T00:55:04.000Z
45,89766458453,Luke,Cage,Chat,Chimerical Auto Workitem,Sales,45,2019-03-05T23:07:33.000Z
263,85778926381,Charles,Xavier,Call,Chimerical Auto Workitem,Router Support,263,2018-11-15T05:33:07.000Z
71,86174492012,Charles,Xavier,Email,Chimerical Auto Workitem,Router Support,71,2019-06-21T03:07:50.000Z
176,81766556207,Tony,Stark,Chat,Chimerical Auto Workitem,Cable TV Support,176,2019-02-07T13:54:49.000Z
174,85583401390,Tony,Stark,Chat,Chimerical Auto Workitem,Cable TV Support,174,2019-10-06T12:08:02.000Z
231,83548078456,Tony,Stark,Chat,Chimerical Auto Workitem,Auto Agent,231,2018-11-06T09:05:47.000Z
285,86952444305,Charles,Xavier,Call,Chimerical Auto Workitem,Cable TV Support,285,2019-05-12T05:53:06.000Z
24,83720912153,Bruce,Banner,Email,Chimerical Auto Workitem,Router Support,24,2019-02-05T18:08:42.000Z
